City,date,AvgTemperature,PredictedTemps
Abu Dhabi,2018-05-27,92.8,91.0988099632547
Abu Dhabi,2018-06-03,95.92857142857144,92.12641616298542
Abu Dhabi,2018-06-10,98.2142857142857,93.23821851042112
Abu Dhabi,2018-06-17,94.02857142857145,92.98972833009168
Abu Dhabi,2018-06-24,93.57142857142857,93.87401413062696
Abu Dhabi,2018-07-01,97.51428571428572,95.54066457282369
Abu Dhabi,2018-07-08,100.47142857142858,96.97001102098076
Abu Dhabi,2018-07-15,98.79999999999998,97.97810041587049
Abu Dhabi,2018-07-22,97.15714285714284,98.99693078603238
Abu Dhabi,2018-07-29,99.0,98.31385080520617
Abu Dhabi,2018-08-05,96.72857142857139,98.56452645580109
Abu Dhabi,2018-08-12,99.41428571428573,98.18932398018423
Abu Dhabi,2018-08-19,95.80000000000001,96.9377900088512
Abu Dhabi,2018-08-26,96.24285714285712,95.99294862919248
Abu Dhabi,2018-09-02,96.67142857142858,94.81475561207132
Abu Dhabi,2018-09-09,98.5,93.51407103107304
Abu Dhabi,2018-09-16,96.22857142857139,91.79236379507219
Abu Dhabi,2018-09-23,95.32857142857142,90.53223505777798
Abu Dhabi,2018-09-30,92.41428571428573,89.002484015441
Abu Dhabi,2018-10-07,89.78571428571429,87.61588376107987
Abu Dhabi,2018-10-14,89.41428571428571,85.95355962916764
Abu Dhabi,2018-10-21,86.84285714285714,84.23281280486216
Abu Dhabi,2018-10-28,86.72857142857143,83.32167389997474
Abu Dhabi,2018-11-04,82.35714285714286,80.43122402714219
Abu Dhabi,2018-11-11,81.25714285714285,78.37957728797295
Abu Dhabi,2018-11-18,81.725,75.94370840747203
Abu Dhabi,2018-11-25,77.45714285714287,74.57921641607923
Abu Dhabi,2018-12-02,75.04285714285717,73.34338129203633
Abu Dhabi,2018-12-09,74.61428571428573,70.58671438524625
Abu Dhabi,2018-12-16,73.27142857142857,68.8836080827304
Abu Dhabi,2018-12-23,71.05714285714286,68.37797965714522
Abu Dhabi,2018-12-30,68.74285714285715,68.23921988135687
Abu Dhabi,2019-01-06,71.0142857142857,67.62276625358182
Abu Dhabi,2019-01-13,70.52857142857144,66.22600534260212
Abu Dhabi,2019-01-20,70.38571428571429,66.54575597782866
Abu Dhabi,2019-01-27,69.16666666666667,68.69294493245125
Abu Dhabi,2019-02-03,72.01428571428572,66.97142058848117
Abu Dhabi,2019-02-10,67.22857142857143,68.89356885185325
Abu Dhabi,2019-02-17,70.6,72.16106791930032
Abu Dhabi,2019-02-24,68.44285714285715,71.40667405293249
Abu Dhabi,2019-03-03,70.45714285714286,73.01776080129254
Abu Dhabi,2019-03-10,67.04285714285713,75.09591566838755
Abu Dhabi,2019-03-17,72.04285714285713,78.22440758641673
Abu Dhabi,2019-03-24,75.67142857142858,76.37699237803534
Abu Dhabi,2019-03-31,80.22857142857141,81.0734747519653
Abu Dhabi,2019-04-07,88.1,81.82002803152818
Abu Dhabi,2019-04-14,80.77142857142857,84.9668967650134
Abu Dhabi,2019-04-21,85.22857142857143,83.87567799324651
Abu Dhabi,2019-04-28,80.31666666666666,87.89997833548912
Abu Dhabi,2019-05-05,83.94285714285715,90.64555373853777
Abu Dhabi,2019-05-12,88.55714285714285,91.4769156645104
Abu Dhabi,2019-05-19,89.2,90.96854458657997
Abu Dhabi,2019-05-26,88.75714285714285,91.7013829389924
Abu Dhabi,2019-06-02,94.87142857142858,92.17050891404605
Abu Dhabi,2019-06-09,96.24285714285715,93.4616603039693
Abu Dhabi,2019-06-16,95.37142857142857,93.31129235784752
Abu Dhabi,2019-06-23,95.6285714285714,94.02477419671824
Abu Dhabi,2019-06-30,98.5,95.6213317087459
Abu Dhabi,2019-07-07,96.24285714285712,97.25566107974032
Abu Dhabi,2019-07-14,95.01428571428572,98.34378525651049
Abu Dhabi,2019-07-21,95.34285714285716,99.24445066155482
Abu Dhabi,2019-07-28,99.24285714285713,98.5487438284815
Abu Dhabi,2019-08-04,99.05714285714286,98.8048329413878
Abu Dhabi,2019-08-11,96.98571428571428,98.44023249352264
Abu Dhabi,2019-08-18,98.04285714285712,97.10202999960154
Abu Dhabi,2019-08-25,98.22857142857143,96.07137541836978
Abu Dhabi,2019-09-01,97.10000000000002,94.86098383541064
Abu Dhabi,2019-09-08,96.47142857142856,93.71388398126015
Abu Dhabi,2019-09-15,94.1857142857143,92.02253468048735
Abu Dhabi,2019-09-22,93.38571428571427,90.79668897827433
Abu Dhabi,2019-09-29,93.25714285714287,89.14637065932858
Abu Dhabi,2019-10-06,91.8,87.847308782113
Abu Dhabi,2019-10-13,90.3,86.15805323674745
Abu Dhabi,2019-10-20,87.52857142857144,84.39564335659593
Abu Dhabi,2019-10-27,86.60000000000002,83.52629847260854
Abu Dhabi,2019-11-03,85.28571428571429,80.67634311485592
Abu Dhabi,2019-11-10,80.95714285714287,78.69560058704165
Abu Dhabi,2019-11-17,75.35714285714286,76.16371960683443
Abu Dhabi,2019-11-24,73.89999999999998,74.70933412477481
Abu Dhabi,2019-12-01,73.25714285714285,73.51066124208639
Abu Dhabi,2019-12-08,74.10000000000002,70.54480562361404
Abu Dhabi,2019-12-15,75.0142857142857,68.99672019920807
Abu Dhabi,2019-12-22,73.04285714285713,68.42545605723893
Abu Dhabi,2019-12-29,68.4857142857143,68.30442840370337
Abu Dhabi,2020-01-05,71.52857142857144,67.6334120354634
Abu Dhabi,2020-01-12,67.89999999999999,66.2664133699465
Abu Dhabi,2020-01-19,64.78571428571429,66.48704719193292
Abu Dhabi,2020-01-26,67.51428571428572,68.55524923906277
